URL,Organization ID,Year submitted,Organization_Name,Organization Website,EIN,Zip,Charity Navigator URL,Link to NTEE code,NTEE Type,TAGS/Indicators,twitter,instagram,facebook,org_type,project_image,project_video,org_summary,areas_impacted,Project IDs,Organization ID
http://maker.good.is/myla2050learn2015/projects/ihaveadream.html,2015001,2015,"""I Have a Dream"" Foundation - Los Angeles (IHADLA)",www.ihadla.org,954089758,90010,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=954089758,GET CODE,,0,www.twitter.com/IHADLA,www.instagram.com/ihadla/,www.facebook.com/ihaveadreamla,Nonprofit,,,"Since 1987, IHADLA has worked to break the cycle of poverty in Los Angeles’ most disadvantaged communities, working with the same students for 10+ years & providing them with a free, year round program of educational, emotional, & cultural support.","East LA,South LA,Westside,County of Los Angeles (countywide),City of Los Angeles (citywide),LAUSD",5102001,2015001
https://activation.la2050.org/live/happyperiod/,2018001,2018,#HappyPeriod,http://hashtaghappyperiod.org,474333055,0,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=474333055,GET CODE,Human Services,"Arts and Cultural Vitality, Social Connectedness, Housing (?): Arts and culture, Homelessness, Women’s advocacy",happyperiodorg,wearehappyperiod,0,Nonprofit,https://activation.la2050.org/live/happyperiod/happyperiod.jpg,https://youtu.be/goBUjr5-dRA,#HappyPeriod is a social movement aiming to eliminate the stigma surrounding menstruation by providing menstrual products to homeless communities through donation and volunteer opportunities.,"[""County of Los Angeles (please select only if your project has a countywide benefit)""]",8102001,2018001
https://activation.la2050.org/live/hashtaglunchbag-powered-by-living-through-giving-foundation-501c3-nonprofit/,2018002,2018,"#HashtagLunchbag - powered by Living Through Giving Foundation, 501(c)3 nonprofit",www.hashtaglunchbag.org,800928421,90043,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=800928421,GET CODE,"Food, Agriculture and Nutrition","Health, Housing, Social Connectedness: Homelessness, Food inequality, Healthy food, Volunteerism",@hashtaglunchbag,@hashtaglunchbag,https://www.facebook.com/hashtaglunchbag/,Nonprofit,https://activation.la2050.org/live/hashtaglunchbag-powered-by-living-through-giving-foundation-501c3-nonprofit/hashtaglunchbag-powered-by-living-through-giving-foundation-501c3-nonprofit.jpg,https://www.youtube.com/watch?v=3WjUJh2z0WE,"#HashtagLunchbag brings together various communities to connect and prepare meals and messages of hope to our most vulnerable constituents, including the homeless and various at-risk shelters.","[""City of Los Angeles (please select only if your project has a citywide benefit)""]",8102002,2018002
http://maker.good.is/myla2050/projects/AccessJustice.html,2013003,2013,ADVANCE,,461862955,,,,,Income & Employment,,,,For profit,http://maker.good.is/myla2050/projects/AccessJustice.html,,"ADVANCE is still in its idea stages; however, as mentioned, we have been selected as a semi-finalist for the Echoing Green Fellowship, which would fund our organization for the next two years. In addition, one of the organization's founders has seen how her work as a lawyer and social entrepreneur implementing a law firm model identical to ADVANCE's has made positive and lasting changes to low and moderate income people navigating the justice system in L.A. But her experience has been met with challenges when trying to address the needs of a large population. This led her to see potential in creating a training program so legal professionals like her can help people the law is meant to serve.",,,2013003
,2013005,2014,Alliance College-Ready Public Schools,www.laalliance.org,954779029,0,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=954779029,GET CODE,,,,,,Nonprofit,,,"Alliance is the largest charter school network in LA, providing a college prep education to 11,300 low-income students at 26 schools.",,4102001,2013005
http://maker.good.is/myLA2050connect/projects/ConnectingVoices.html,2013007,2014,Alliance for Community Transit - Los Angeles (Fiscal Sponsor LTSC Community Development Corporation),http://www.allianceforcommunitytransit.org/,263106566,90013,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=263106566,GET CODE,,Social Connectedness,@All4Transit,,,Nonprofit,,,ACT-LA is a coalition of organizations working to create just and equitable transit for all. LTSC CDC is our fiscal sponsor.,"Central LA,East LA,South LA,San Gabriel Valley,San Fernando Valley,South Bay,Westside",4102002,2013007
https://challenge.la2050.org/entry/3-d-space-teaches-3-d-image-creation-from-analog-photography-to-digital-virtual-reality,2016002,2016,3-D SPACE,3-DSPACE.org,472247578,91601,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=472247578,GET CODE,,0,la3dspace,la3dspace,la3dspace,Nonprofit,4065764555741-team91.jpg,https://www.youtube.com/embed/sMiWY0aFpkk?rel=0&amp;showinfo=0,"3-D SPACE is an LA based arts and education nonprofit dedicated to both the preservation of the history of stereoscopic imaging, and the advancement of current and future 3-D arts and sciences.","[""Central LA"",""San Fernando Valley""]",,2016002
http://maker.good.is/myla2050create2015/projects/la3dspace.html,2016002,2015,3-D SPACE,www.3-DSPACE.org,472247578,91601,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=472247578,GET CODE,,0,www.twitter.com/LA3DSpace,www.instagram.com/LA3DSpace,www.facebook.com/LA3DSpace,Nonprofit,,,"3-D SPACE, The Center For Stereoscopic Photography, Art, Cinema, and Education is a Los Angeles based nonprofit dedicated to the preservation of the history of stereoscopic imaging and the advancement of current and future 3-D arts and sciences.","Central LA,San Fernando Valey,County of Los Angeles (countywide),City of Los Angeles (citywide)",5102004,2016002
https://challenge.la2050.org/entry/fostering-safe-communities,2016003,2016,50/50 Leadership,5050leadership.org,,,,,,"Women's advocacy, crime",5050Leadership,5050leadership,5050leadership,Nonprofit,9273888445741-team90.jpg,0,Promotes women's equal leadership,"[""San Gabriel Valley""]",,2016003
http://maker.good.is/myla2050/projects/lastories.html,2013001,2013,58-12 Design Lab,http://www.58-12.org,271538597,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=271538597,GET CODE,,Income & Employment,,,,Nonprofit,http://maker.good.is/myla2050/projects/lastories.html,,"58-12 Design Lab is a 501(c)(3) non-profit charitable organization formed and registered in the State of California. In 2009, three friends at UCLA who were going into architecture, law, and business sought to use the power of good design in order create positive social change. They embarked on a journey that led them somewhere between anthropology, journalism, and design and this unique approach has continued as the organization now focuses on place-based, social research and media production that reveals the overlooked, the misunderstood, and the opaque.
 
 
 <br><br>
 
 
 Our organizations achievements are intimate, personal, and real: we engage directly with disenfranchised communities to make their stories heard. We are strong believers in the power of storytelling, and the achievements we are most proud of include a multi-media journalistic exploration of migrant workers around the 2008 World Expo in Shanghai, another exploration of an amazing community of people that live in buses in Venice, and a public awareness campaign for Los Angeles that encourages people to meet their neighbors.
 
 
 <br><br>
 
 
 We have also partnered with a number of individuals and institutions in order to achieve our goals, including designers, storytellers, researchers, and cool folks like the people at metaLAB at Harvard. They developed a web application called Zeega that we are currently working with to tell the story of Hmong communities in California, among other things.",,,2013001
