project_id,project_id_2,title,project_summary,Please describe the activation your organization seeks to launch.,Describe in greater detail how your activation will make LA the best place?,How will your activation engage Angelenos to make LA the best place,Please explain how you will define and measure success for your activation.,Where do you hope this activation or your organization will be in five years?,impact_metrics,make_la_great,category,organization_id,project_image,project_video,project_id_3
8102001,8102001,Normalize Periods by Giving Back!,An art installation of the words PERIODS and #HAPPYPERIOD in numerous locations within L.A county made for the public to donate menstrual products for a homeless passer-by to freely take.,"A 25-foot art installation of the words PERIODS and #HAPPYPERIOD set in five locations within Los Angeles county. The letters will be made of ply-wood with bins built in back, to be covered in packages of period products. The public will be encouraged to take photos with the installation and donate their unwanted disposable or reusable products for a homeless passer-by to take for themselves or someone else in need. #HappyPeriod will be able to refurbish and collect donations for shelters. ","In a 2011 Feeding America survey, people of all income listed menstrual hygiene products as a basic essential or an item â€œthat cannot be forgone or easily substituted.â€ Yet homeless women have to find substitutions every month such as plastic bags, old rags, newspaper, socks, and tissue. In Los Angeles County, 57,794 people experienced homelessness on a given night in 2017. Of this number, over 17,000 are women and nearly 500 are transgender. The average homeless female in Los Angeles County is a woman of color and is of reproductive age. Most of these women and girls will menstruate each month, which is a natural part of the reproductive system, yet it remains taboo. As a result, the challenges of menstrual hygiene are heightened due to the socioeconomic status of these women. A 3 foot high, 25-foot art installation of the words PERIODS and #HAPPYPERIOD set in five locations within Los Angeles county. The letters will be made of recycled materials with bins built in the back of each letter. The front of the letters will to be filled with packages of period products. The back bins will be made to also be filled with donations. The public will be encouraged to take photos with the installation and donate their unwanted disposable or reusable products for a homeless passer-by to take for themselves or someone else in need. #HappyPeriod will be able to refurbish and collect donations for shelters. With this activation, an individual in need would have a new resource from which to obtain period products at any time. This activation will ideally be installed in five locations across Los Angeles in communities with a high walk score, for example Hollywood, Downtown, Mid-city, Venice, and Santa Monica. The goal is to present an interactive way of giving and encourage digital activism.  
","This activation will ideally be installed in five locations across Los Angeles in communities with a high walk score, for example Hollywood, Downtown, Mid-city, Venice, and Santa Monica. The goal is to present an interactive way of giving back and encourage digital activism. Artists can get involved with the project and tackle the unique challenge of having to incorporate a way for period products to be housed on the structure. The installation could be made using environmentally safe supplies, and recycled materials that are similar to ply-wood or better. Signage will also be required for informing the viewers about the installation. The signage will include #HappyPeriod's mission, a sign-up sheet for volunteering, a petition to remove the tampon tax in the state, statistics on homeless community in Los Angeles, and instructions on how to directly participate in the activation. From selfies to donating, it will be a straight forward opportunity for engagement. The public will be encouraged to use social media to spread awareness on the activation and cause. 
","Success of the activation will be defined by a number of key factors: 1) The number of products donated, 2) products that are taken by an homeless individual, 3) Analytics and insights, 4)Impressions on social media. Data science will be our biggest tool for measuring the impact of the activation. We will take a daily count of products donated and received, and this will be assisted with the help of volunteers. Since the public will be encouraged to use social media to spread awareness about the activation, hashtags will be key in measuring our success online. Hiring a data scientist or analyst will be definite in monitoring all of this victoriously.","After going global, I hope to turn my organization into a B corporation or social enterprise. ","[""Healthcare access"",""Rates of homelessness"",""Rates of mental illness""]","In a 2011 Feeding America survey, people of all income listed menstrual hygiene products as a basic essential or an item “that cannot be forgone or easily substituted.” Yet homeless women have to find substitutions every month such as plastic bags, old rags, newspaper, socks, and tissue. In Los Angeles County, 57,794 people experienced homelessness on a given night in 2017. Of this number, over 17,000 are women and nearly 500 are transgender. The average homeless female in Los Angeles County is a woman of color and is of reproductive age. Most of these women and girls will menstruate each month, which is a natural part of the reproductive system, yet it remains taboo. As a result, the challenges of menstrual hygiene are heightened due to the socioeconomic status of these women. A 3 foot high, 25-foot art installation of the words PERIODS and #HAPPYPERIOD set in five locations within Los Angeles county. The letters will be made of recycled materials with bins built in the back of each letter. The front of the letters will to be filled with packages of period products. The back bins will be made to also be filled with donations. The public will be encouraged to take photos with the installation and donate their unwanted disposable or reusable products for a homeless passer-by to take for themselves or someone else in need. #HappyPeriod will be able to refurbish and collect donations for shelters. With this activation, an individual in need would have a new resource from which to obtain period products at any time. This activation will ideally be installed in five locations across Los Angeles in communities with a high walk score, for example Hollywood, Downtown, Mid-city, Venice, and Santa Monica. The goal is to present an interactive way of giving and encourage digital activism.",Live,2018001,https://activation.la2050.org/live/happyperiod/happyperiod.jpg,https://youtu.be/goBUjr5-dRA,8102001
8102002,8102002,#HashtagLunchbag Feeds LA,"#HashtagLunchbag - through the power of social media and dedicated volunteers - will bring hope and meals to over 50,000 Angelenos, affirming that we can be the change we want to see in the world.",#HashtagLunchbag aspires to promote and affirm the notion that solutions to large scale problems are attainable even when a small group of people dedicate their time and resources to solve these issues. It is when hundreds of volunteers get together and connect to prepare meals and messages of hope to our most vulnerable communities.,"Since its launch nearly five years ago, #HashtagLunchbag takes advantage of the power of social media to to digitally organize Angelenos to come together and bring about meaningful change to the most vulnerable of our communities. What makes #HashtagLunchbag so unique, successful and incredibly popular is our belief that in person connections will yield greater results and greater overall impact. When nearly 200 volunteers come out each month to prepare, decorate, inspire, and serve meals to those in need, we not only feed the recipients of our lunch bags but also feed our souls by making a difference through our actions, through our volunteerism, and through  our belief that we can solve large and complex problems when we work together.
We work with our local business communities and leaders in a myriad of fields to bring awareness of the important work we perform. We provide businesses with a number of opportunities to engage in #HashtagLunchbag activations and encourage them to promote our efforts in alignment with their corporate social responsibilities. Such efforts are typically tied into two major elements:
Increase volunteerism within their business and local offices
Increase financial contributions in order to broaden and enhance our impact
Through our activations we provide deeply meaningful and moving opportunities for volunteers to tackle large scale challenges like food insecurity. 
One of the newest programs #HashtagLunchbag is poised to launch is a voter registration component to increase voter turnout and participation within our volunteer groups. We believe that civic engagement is directly tied to an informed citizenry that is crucial in bringing about change to large scale and complex programs within our city and communities.  
","We know that volunteering in your local community creates a deep sense of belonging. This sense allows individual members to create community and ultimately make Los Angeles a place they can call home. This sense of belonging also allows Angelenos to view difficult, complex, and large scale problems like food insecurity as something they would want to take ownership of. By volunteering their time to help combat poverty, hunger, and food insecurity, these volunteers will develop a much deeper level of love and satisfaction. Through both the internal and external changes in volunteers, we together will make Los Angeles the best place to live.
","Our activiations each carry targets and metrics both in meals prepared and served and the number of volunteers engaged with our efforts. We also work hard to retain volunteers by continuously improving the volunteer experience. Since our business community is a key stakeholder and partner in our efforts, we also set targets in the number of sponsorships and partnerships we develop and execute each year. We measure success if are actual figures are within 90% of our targets for our various metrics. 
","Key signature programs: Our organization strives to build on the success of our signature #HashtagLunchbag program and aims to add additional LA locations for activations throughout LA City and LA County to dramatically increase the number of meals served and communities provided for by 2023.
Awareness, Outreach, & Connecting Angelenos: Living Through Giving Foundation looks forward to enhance its current outreach and awareness strategies to increase the use of technology in order to deepen the engagement of Angelenos looking for ways to bring about change in their communities.  
","[""Access to healthy food"",""Number of households below the self-sufficiency standard"",""Resilient communities""]","Since its launch nearly five years ago, #HashtagLunchbag takes advantage of the power of social media to to digitally organize Angelenos to come together and bring about meaningful change to the most vulnerable of our communities. What makes #HashtagLunchbag so unique, successful and incredibly popular is our belief that in person connections will yield greater results and greater overall impact. When nearly 200 volunteers come out each month to prepare, decorate, inspire, and serve meals to those in need, we not only feed the recipients of our lunch bags but also feed our souls by making a difference through our actions, through our volunteerism, and through our belief that we can solve large and complex problems when we work together.
 
 We work with our local business communities and leaders in a myriad of fields to bring awareness of the important work we perform. We provide businesses with a number of opportunities to engage in #HashtagLunchbag activations and encourage them to promote our efforts in alignment with their corporate social responsibilities. Such efforts are typically tied into two major elements:
 
 Increase volunteerism within their business and local offices
 
 Increase financial contributions in order to broaden and enhance our impact
 
 Through our activations we provide deeply meaningful and moving opportunities for volunteers to tackle large scale challenges like food insecurity. 
 
 One of the newest programs #HashtagLunchbag is poised to launch is a voter registration component to increase voter turnout and participation within our volunteer groups. We believe that civic engagement is directly tied to an informed citizenry that is crucial in bringing about change to large scale and complex programs within our city and communities.",Live,2018002,https://activation.la2050.org/live/hashtaglunchbag-powered-by-living-through-giving-foundation-501c3-nonprofit/hashtaglunchbag-powered-by-living-through-giving-foundation-501c3-nonprofit.jpg,https://www.youtube.com/watch?v=3WjUJh2z0WE,8102002
8102003,8102003,"Write the Future of LA: 100,000 Stories to Connect Volunteers","By sharing student writing with 100,000 Angelenos, Los Angeles will connect as 826LA volunteers or supporters to amplify and honor the voices of young people from underserved communities.","826LA will inspire Los Angeles residents to support local students through volunteering. 826LA will share student writing via a special-edition student-written newspaper, public readings, social media platforms, and a citywide celebration of our 15th anniversary, connecting students, families, volunteers, and educators. These steps will help 826LA grow its volunteer program, with a focus on recruiting diverse Angelenos to mentor local students.","826LA is part of an ecosystem of services that help young people break out of poverty, by helping students improve their grades, apply to college, and develop the skills and confidence to express themselves fully. 826LA was founded in 2005 to address the need for academic and literacy support for Los Angeles students. Since that time, 826LA has served more than 74,000 students. More than 240 public school teachers each year benefit from 826LAâ€™s support, and, in fiscal year 2017, over 1,230 trained, individual volunteers contributed over 21,000 hours of their time at 826LA. 

Since its founding, 826LA has enlisted evidence-based practices to give students the tools they need for academic success and positive self-regard. In the 2018 fiscal year, 826LA anticipates serving 9,365 students. By offering its services for free, 826LA presents a sustainable way to provide educational programs to students from underserved communities. We believe that creativity is key for young people to develop critical thinking skills. At 826LA, students are transported to a world where writing is a form of magic, their voices are celebrated, and anything is possible. 

826LAâ€™s work is only possible with the help of volunteers. 826LA focuses on providing consistent, individualized attention from community volunteers, and in many programs, offers multiple sessions per week. This kind of educational support, from caring adults outside young peopleâ€™s own families, has been shown to play a significant role in providing a number of developmental assets for students. A study by the Afterschool Alliance found that programs like 826LAâ€™s, which are â€œstaffed by community members, may be viewed by parents as more approachable than schools.â€ This accessibility â€œmakes [these programs] an ideal partner to help schools break down barriers between parents and schools and increase parental engagement.â€ Not only does this engagement help parents feel more connected to their community, but it can also embolden them to seek out sufficient social and emotional support in other aspects of their lives. 

To expand the reach of our programs and recruit more volunteers in our mission to reduce educational inequities, 826LA must connect with a wider and more diverse group of Angelenos. By connecting 100,000 people with the stories, essays, poems, and dreams of young Angelenos, along with a call to volunteer, 826LAâ€™s volunteer base will grow and diversify and the rate of volunteerism in the city will increase. Support from LA2050 will enable us to focus on access and increased distribution of the over 300 student-written books and newspapers 826LA publishes each year. 

The more often Angelenos hear our students speakâ€”in their own wordsâ€”about their hopes and challenges, the more often those same Angelenos will volunteer their time, donate funds, share stories with others, and advocate on behalf of LA students at the ballot box and beyond.","Stories are emotional connections that create community connectionsâ€”stories are what can bring Los Angeles together in service. With LA2050, 826LA will share student stories with 100,000 Angelenos to encourage residents to step up and volunteer.

Sharing student-written publications via libraries, community organizations, and local businesses will increase the number of 826LA volunteers. 826LA will recruit at least 1,000 new volunteers and will see at least 21,000 volunteer hours per year, with a 10% growth in volunteer hours over the two years of this grant. Through outreach and presentations, 826LAâ€™s families, educators, and college and corporate partners will see how volunteering can impact Los Angeles.

826LA will also run a compelling digital recruitment campaign, featuring informational webinars, interactive posts, and powerful storytelling. 826LA will discuss the importance of volunteering with the over 9,200 students it serves each year and will launch an initiative that fast-tracks teenagers enrolled in 826LA programs into becoming 826LA volunteers. This will connect 826LA students with their own community through volunteering and will set an example for the younger students whom theyâ€™ll mentor. 

Finally, to help activate 100,000 Angelenos and recruit volunteers, 826LA will turn its 15th anniversary in 2020 into a citywide, celebratory call to action through a special-edition student-written newspaper, to be distributed digitally and in print all around Los Angeles.","826LA uses a cloud-based platform to track volunteer attendance and retention. To ensure 826LA is recruiting a diverse group of volunteers, we analyze numbers of senior volunteers and volunteers of color. Student data is tracked with spreadsheets developed by 826 National, 826LAâ€™s umbrella organization. 826LA conducts pre- and post-program surveys with students, families, and teachers to assess the qualitative success of programs. 

To gain a more thorough understanding of its data reporting processes and results, 826LA analyzes big-picture volunteer trends. 826LAâ€™s annual volunteer survey, biannual roundtables, and post-program volunteer debriefs help staff members understand why people volunteer in programs, what training opportunities theyâ€™d like, and ways to improve the volunteer experience at 826LA.

826LA will track the engagement of Angelenos on social media, through zip code-based surveys, targeted Facebook ads, and reports from Constant Contact, an email subscription service. To assess the reach of Angelenos interacting with studentsâ€™ stories, 826LA will track the distribution of student-penned books and newspapers to local libraries, family shelters, and book festivals, including the Leimert Park Book Festival and the Los Angeles Times Festival of Books. Measurable goals include at least 1,000 volunteers attend volunteer orientations per year, and over two years, 826LA will increase the number of volunteers of color by 10% and the number of senior volunteers by 10%.","826LA is in the initial stages of developing its strategic plan for fiscal years 2019-2021. As a result of the LA2050 activation challenge, 826LA hopes to have an expanded pool of volunteers to support its programs. With more volunteers, 826LA will be able to serve more students, increase the one-to-one ratio in each program, and scale our programs. We have identified Writersâ€™ Rooms as the best option for expanding the depth and reach of programming while minimizing overhead costs. Volunteer recruitment is paramount to fully activating the Writersâ€™ Room model. 826LA hopes that with the 2,000 volunteers recruited, the organization can continue to grow by expanding its classroom/Writersâ€™ Room model into other high schools.

826LA doesnâ€™t just impact students; the adults who participate in the programs, either as volunteers, parents/guardians, or educators, all leave with a renewed connection to their city and to each other. Juventina, a parent of three students who have participated in 826LA programs for seven years, said, â€œThank you for the great job you are doing for our community. I'm so glad to find the right way to help my children to be great citizens. [826LA is] the inspiration of their life.â€ 

Renee, an 826LA volunteer for five years wrote, â€œThank you, 826LA, for being such a vibrant presence in the communities where you work. Thank you for being a place kids like to go to; thank you for doing, and not just talking; for bringing so many diverse people to one place, where we canâ€¦realize those diversities are our very strength. And, oh! How strong we are together.â€ With LA2050, 826LA will connect even more Angelenos with meaningful, effective volunteer opportunities, showing our city just how strong we are together. ","[""Adults getting sufficient social & emotional support"",""Attendance at cultural events"",""Rates of volunteerism""]","826LA is part of an ecosystem of services that help young people break out of poverty, by helping students improve their grades, apply to college, and develop the skills and confidence to express themselves fully. 826LA was founded in 2005 to address the need for academic and literacy support for Los Angeles students. Since that time, 826LA has served more than 74,000 students. More than 240 public school teachers each year benefit from 826LA’s support, and, in fiscal year 2017, over 1,230 trained, individual volunteers contributed over 21,000 hours of their time at 826LA. 
 
 
 
 Since its founding, 826LA has enlisted evidence-based practices to give students the tools they need for academic success and positive self-regard. In the 2018 fiscal year, 826LA anticipates serving 9,365 students. By offering its services for free, 826LA presents a sustainable way to provide educational programs to students from underserved communities. We believe that creativity is key for young people to develop critical thinking skills. At 826LA, students are transported to a world where writing is a form of magic, their voices are celebrated, and anything is possible. 
 
 
 
 826LA’s work is only possible with the help of volunteers. 826LA focuses on providing consistent, individualized attention from community volunteers, and in many programs, offers multiple sessions per week. This kind of educational support, from caring adults outside young people’s own families, has been shown to play a significant role in providing a number of developmental assets for students. A study by the Afterschool Alliance found that programs like 826LA’s, which are “staffed by community members, may be viewed by parents as more approachable than schools.” This accessibility “makes [these programs] an ideal partner to help schools break down barriers between parents and schools and increase parental engagement.” Not only does this engagement help parents feel more connected to their community, but it can also embolden them to seek out sufficient social and emotional support in other aspects of their lives. 
 
 
 
 To expand the reach of our programs and recruit more volunteers in our mission to reduce educational inequities, 826LA must connect with a wider and more diverse group of Angelenos. By connecting 100,000 people with the stories, essays, poems, and dreams of young Angelenos, along with a call to volunteer, 826LA’s volunteer base will grow and diversify and the rate of volunteerism in the city will increase. Support from LA2050 will enable us to focus on access and increased distribution of the over 300 student-written books and newspapers 826LA publishes each year. 
 
 
 
 The more often Angelenos hear our students speak—in their own words—about their hopes and challenges, the more often those same Angelenos will volunteer their time, donate funds, share stories with others, and advocate on behalf of LA students at the ballot box and beyond.",Connect,2018003,https://activation.la2050.org/connect/826la/826la.jpg,https://youtu.be/4nRuPAZABus,8102003
8102004,8102004,"A youth-led public health program involving health professionals, students, & our communities.","Promoting a culture of healthy practices in even the most under-resourced communities via physician referred nutrition and fitness community health programming, led by local students.","HCSY seeks to build sustainable programs that empower Health Systems to educate communities in understanding and improving their social determinates of health. This is done via a park prescription platform. Physicians provide prescriptions for their patients with nutrition & fitness barriers to participate in UCLA-Fitted fitness instruction, disease specific Grocery Store Tours, and Growing Grit, a gardening and mindfulness workshop. The programs are lead by youth from corresponding communities.","A Healthier Community Starts with YOUth (HCSY) will make LA the best place to live because, it directly address health disparities faced by residents of South Los Angeles. HCSY is a public health education and career pipeline program exposing youth to a culture of upstream preventative thinking. The program model provides an opportunity for students to receive mentorship and experience within the public health field as they build and conduct community health programming with professionals. Students and professionals will be collaborating on three programs focused on improving skills around nutrition, fitness and mindfulness. 
Participants of these youth led programs are patients that have been identified by their primary care physician as having barriers to nutrition and fitness. These patients receive a written prescription from their physicians that we call park prescriptions. A patient participating in the park prescription program will partake in a 10-week program that provides personalized fitness instruction, nutrition education via grocery store tours and a gardening and mindfulness workshop.  
Undergraduate students leading the workshops will receive mentorship and public health career exposure from graduate students as well as professionals in the field. Undergraduate students will in-turn mentor high school students and expose them to the paths of higher education. 
The final phase of the program will include a train-the-trainer component for representatives of Community Based Organizations to conduct this programming in their own communities, spreading and sharing the effectiveness of this program to communities beyond.
","HCSY vision is to make a healthy lifestyle possible for all Angelenos by translating the best practices known in the science of public health demonstrated by youth and adults in their communities. HCSY will realize this vision by collaborating with physicians as well as public health and community professionals to mentor and teach youth. Youth-led public health programming will be deployed via park prescriptions. Park prescriptions are an evidence based strategy that encourages patients to use parks and open spaces for the purpose of improving their health. Success stories in Washington DC, San Francisco and Tuscon have shown to have physical, mental and even social health benefits. HCSY is collaborating with MLK Outpatient center, UCLA Fitted Fitness Program and Netiya Gardens to train students to conduct 10-week nutrition and fitness workshops. The Program is supported by UCLA Clinical Translational Science Institute-Community Engagement Research Program (CTSI-CERP) which will manage the programs evaluation process.  ","UCLA CTSI-CERP will manage the programs evaluation process. Measurement tools include a community based needs assessment, a pre and post patient reported outcomes survey (PROS), and pre and post health screenings (reported from the participants primary care physicians).

AIMS:
-       Improve the health outcomes of patients suffering from or at high risk for metabolic diseases specifically (obesity; diabetes; heart disease; and hypertension). 
-	Provide exposure to hands on fitness and nutrition education via physician referred park prescriptions.
-	Expose youth to public health practices
Measurable Objectives:
-	80% of participants report increase in produce consumption 
-	100% of participants who report increase in produce consumption will show corresponding health improvements (controlled A1c levels, BMI, and blood pressure) 
-	90% of participants demonstrate understanding of how to shop and eat healthier.
-	90% of patients report increase in physical activity 
-	80% of patients report higher confidence in their ability to maintain healthy lifestyle practices demonstrated in the park prescription program. 
","We hope to see the Healthier Community Starts with YOUth vision realized, which is to translate the best practices known in the science of public health demonstrated by youth and adults in their communities. Promoting a culture of healthy practices in even the most under-resourced communities.","[""Access to healthy food"",""Healthcare access"",""Obesity rates""]","A Healthier Community Starts with YOUth (HCSY) will make LA the best place to live because, it directly address health disparities faced by residents of South Los Angeles. HCSY is a public health education and career pipeline program exposing youth to a culture of upstream preventative thinking. The program model provides an opportunity for students to receive mentorship and experience within the public health field as they build and conduct community health programming with professionals. Students and professionals will be collaborating on three programs focused on improving skills around nutrition, fitness and mindfulness. 
 
 Participants of these youth led programs are patients that have been identified by their primary care physician as having barriers to nutrition and fitness. These patients receive a written prescription from their physicians that we call park prescriptions. A patient participating in the park prescription program will partake in a 10-week program that provides personalized fitness instruction, nutrition education via grocery store tours and a gardening and mindfulness workshop. 
 
 Undergraduate students leading the workshops will receive mentorship and public health career exposure from graduate students as well as professionals in the field. Undergraduate students will in-turn mentor high school students and expose them to the paths of higher education. 
 
 The final phase of the program will include a train-the-trainer component for representatives of Community Based Organizations to conduct this programming in their own communities, spreading and sharing the effectiveness of this program to communities beyond.",Live,2018004,https://activation.la2050.org/live/a-healthier-community-starts-with-youth/a-healthier-community-starts-with-youth.jpg,https://vimeo.com/241727342,8102004
8102005,8102005,Youth Voice 2020,Youth Voice 2020 empowers and amplifies young voices to inspire and inform Angelenos to take action and vote.,"Every year Action Civics LA hosts a public speaking competition that calls young people to speak out on issues that affect them and their communities. These powerful speeches have lasting, transformative impacts on classrooms, schools, and communities.
 
Our activation is focused on amplifying these student speeches, a call-to-action, to inform and inspire Angelenos to participate in local neighborhood councils and vote in 2018, 2019, and 2020.","Youth Voice 2020 is a joint initiative between Action Civic LA and ProCon.org. We will give Angelenos an easy way to encourage, motivate and facilitate youth activism in Los Angeles county, inspiring them to take action in their communities, participate in local government, and vote on local issues, making LA the best place to connect.
 
By training Los Angeles teachers and students to translate their passion into action, highlighting the civic action of youth, and connecting youth to local government, we will show Angelenos how to be active in their communities. Youth Voice 2020 will increase the percentage of young people who are registered to vote; regularly volunteer; and involved in local government. Our focus on action will also increase government responsiveness to local issues. Our ability to amplify youth voices through public events and websites will increase adult participation in local issues, voting rates, volunteerism.
 
Youth Voice 2020 has 3 components:
1.Youth training
Teachers work with Action Civics LA to engage their students to identify the most pressing issues in their communities and take action to address these issues. Students learn how to SPEAK OUT, ADVOCATE for change, COLLABORATE with peers and community organizations, RESEARCH issues, DEVELOP action plans to affect change, and SHOWCASE their year-long activism efforts.
 
Past projects include:
Â·South Central HS students advocated for the rights of undocumented immigrants and DREAMers in their school and community bringing in the assistance of immigration lawyers and representatives from Congresswoman Karen Bassâ€™ office; Hancock Park Elementary students researched homelessness rates in their neighborhood and presented their findings to Councilmember Ryu in City Hall; Boyle Heights 9th graders started a school-wide â€œUnplug Mondayâ€ during free periods where students detach from all electronics and focus on interpersonal connections and mental health care.  
2. Public events:
Â·2 showcase events where students will present their Action Civics projects and receive feedback from community leaders.
Â·6-8 large open community events hosted by Pro/Con where local issues are debated (proposed locations include the Santa Monica Pier, USC, and others). Student projects will be featured and event participants will be asked to take action to support them. 
3. Digital amplification and action:
We will highlight select student speeches and projects on the ProCon.org website for the 500,000 annual users from Los Angeles. We will focus on the following four areas: Water and the environment; Community and School safety; Civic Participation; and Education.
 
The projects will be linked to pro and con research on these issues on ProCon.org, a website use by 25 million people per year, including more than 500,000 Angelenos. Web visitors will be able to view the projects, replicate them in their own neighborhood, contact their local representatives, and share with their own social networks.
","Using in-class instruction, city-wide events, teacher trainings, and school partnerships, in 2 years 7,000 students from over 20 different LA schools will be trained in identifying issues and turning them into action. Our current partner schools reach wide across LA county, from South Gate to West LA, from the San Fernando Valley to Downtown LA.  
 
From our group of student projects, Action Civics LA teachers and partner organizations will select student projects that inspire, educate, and inform in four areas: Water and the environment; Community and School safety; Civic Participation; and Education.
 
These projects will be featured on procon.org. Based on existing traffic on procon.org, we estimate that over 50,000 Angelenos will visit these pages and take action to support student work whether it is reading about an issue, sending the issue pages to their neighborhood council, replicating the project in their own neighborhood, or by contacting their local representative.  
 
Finally, over an additional 50,000 people from Los Angeles County will be exposed to issues and youth voice at six county-wide public events featuring youth voice on civic issues. After these events, participants will have greater understanding of issues, be able to connect with and support youth leaders, and be ready to take action.
","Activation is measured in the following ways:
 
Student participation: 7,000 students in 2 years will participate in Action Civics LA in-class programs where they develop their issues and projects. We will measure student learning throughout, measuring increases in ability to debate, do research, analyze issues, and developing strategic plans. Additionally, we plan to track alumni of the program via surveys.
 
Public participation though events: Through our public events across the county, we will measure event attendance and exposure to youth issues. We will also measure adoption of student calls to action.
 
Digital participation: Once students have developed their issues we will measure dissemination of their ideas and passion via visits to web pages and clickthroughs on various actions including contacting their neighborhood council, contacting their representatives, and downloading information to replicate the project in their own neighborhood. We estimate that 10% of the Los Angeles traffic to ProCon.org will view these student pages, representing 4,000 actions per month or 50,000 people per year.","We hope that in 5 years, Action Civics LA will grow to working with 15,000 students annually across the city and to launch statewide training for educators. We hope to have continued our partnership with ProCon.org so that together we are a resource for educators across the country.","[""Attendance at public/open streets gatherings"",""Participation in neighborhood councils"",""Voting rates""]","Youth Voice 2020 is a joint initiative between Action Civic LA and ProCon.org. We will give Angelenos an easy way to encourage, motivate and facilitate youth activism in Los Angeles county, inspiring them to take action in their communities, participate in local government, and vote on local issues, making LA the best place to connect.
 
  
 
 By training Los Angeles teachers and students to translate their passion into action, highlighting the civic action of youth, and connecting youth to local government, we will show Angelenos how to be active in their communities. Youth Voice 2020 will increase the percentage of young people who are registered to vote; regularly volunteer; and involved in local government. Our focus on action will also increase government responsiveness to local issues. Our ability to amplify youth voices through public events and websites will increase adult participation in local issues, voting rates, volunteerism.
 
  
 
 Youth Voice 2020 has 3 components:
 
 1.Youth training
 
 Teachers work with Action Civics LA to engage their students to identify the most pressing issues in their communities and take action to address these issues. Students learn how to SPEAK OUT, ADVOCATE for change, COLLABORATE with peers and community organizations, RESEARCH issues, DEVELOP action plans to affect change, and SHOWCASE their year-long activism efforts.
 
  
 
 Past projects include:
 
 * South Central HS students advocated for the rights of undocumented immigrants and DREAMers in their school and community bringing in the assistance of immigration lawyers and representatives from Congresswoman Karen Bass’ office; Hancock Park Elementary students researched homelessness rates in their neighborhood and presented their findings to Councilmember Ryu in City Hall; Boyle Heights 9th graders started a school-wide “Unplug Monday” during free periods where students detach from all electronics and focus on interpersonal connections and mental health care. 
 
 2. Public events:
 
 * 2 showcase events where students will present their Action Civics projects and receive feedback from community leaders.
 
 * 6-8 large open community events hosted by Pro/Con where local issues are debated (proposed locations include the Santa Monica Pier, USC, and others). Student projects will be featured and event participants will be asked to take action to support them. 
 
 3. Digital amplification and action:
 
 We will highlight select student speeches and projects on the ProCon.org website for the 500,000 annual users from Los Angeles. We will focus on the following four areas: Water and the environment; Community and School safety; Civic Participation; and Education.
 
  
 
 The projects will be linked to pro and con research on these issues on ProCon.org, a website use by 25 million people per year, including more than 500,000 Angelenos. Web visitors will be able to view the projects, replicate them in their own neighborhood, contact their local representatives, and share with their own social networks.",Connect,2018005,https://activation.la2050.org/connect/action-civics-la-an-initiative-of-mikva-challenge/action-civics-la-an-initiative-of-mikva-challenge.jpg,https://www.youtube.com/watch?v=DRyOMoxgsbE,8102005
8102006,8102006,"Supporting Homeless Youth Beyond the School Year, Are You All-In?","All-In Urban Summer Academy keeps Compton and Venice youth on track for the school year by providing academic and social enrichment, as well as mitigating traumas associated with homelessness.
","After serving a homeless family in our inaugural summer we were introduced to the growing crisis that affects 63,000 Los Angeles youth. A new partnership with School on Wheels and Shields for Families Inc. is the perfect merge to have targeted academic and social intervention that mitigates traumas and supports youth affected by homelessness. This activation will secure our traditional summer camp and initiate our Jr. Counselor program to provide service opportunities for 9th-12th graders. ","During the summer months, students not enrolled in an academically enriching summer program can lose up to 80% of the knowledge from the previous school year. This phenomenon, known as the summer slide, is more likely in underserved community and further perpetuates academic and social gaps across the country. All-In provides a six -week program to prevent the summer slide. With a core group of teachers dedicated to the individual success of each student, All-In has successfully helped 100% of our students master a language and math skill that they were struggling with before camp. We plan to do that and more with this activation! There are currently 63,000 youth in Los Angeles that can be classified as homeless. During the summer months there are very few programs that offer support, even fewer that are free. Summer engagement is directly related to high school reading levels, school year attendance, and school year academic success. Being able to have a consistent measure of student progress (Using School on Wheels data from the school year), we will be able to track the success of students who have the support of All-In and SOW!","Our approach offers an innovative way to learn, to get non educators engaged by sharing their time, skills, and support to youth. We keep students engaged by meeting their specific needs, and supplementing with social enrichment that will foster homeless youth's curiosity beyond the reality they face. ","The following will be measured:
Student attendance
Intake Assessment
End of Summer Assessment
Weekly Assignments/Progress Reports

","In five years, I hope that All-In will be able to partner with the other SOW and SHIELDS sites to provide access to more Angelenos!","[""District-wide graduation rates"",""Proficiency in English and Language Arts and Math"",""Suspension and expulsion rates""]","During the summer months, students not enrolled in an academically enriching summer program can lose up to 80% of the knowledge from the previous school year. This phenomenon, known as the summer slide, is more likely in underserved community and further perpetuates academic and social gaps across the country. All-In provides a six -week program to prevent the summer slide. With a core group of teachers dedicated to the individual success of each student, All-In has successfully helped 100% of our students master a language and math skill that they were struggling with before camp. We plan to do that and more with this activation! There are currently 63,000 youth in Los Angeles that can be classified as homeless. During the summer months there are very few programs that offer support, even fewer that are free. Summer engagement is directly related to high school reading levels, school year attendance, and school year academic success. Being able to have a consistent measure of student progress (Using School on Wheels data from the school year), we will be able to track the success of students who have the support of All-In and SOW!",Learn,2018006,https://activation.la2050.org/learn/all-in-urban-summer-academy/all-in-urban-summer-academy.jpg,0,8102006
