url,ein,title,org_type
https://archive.la2050.org/24connect,274848676,24Connect,For profit business
https://archive.la2050.org/advance,461862955,ADVANCE,For profit business
https://archive.la2050.org/adventure-playhouse-indoor-activity-center,383887199,Adventure Playhouse Indoor Activity Center,For profit business
https://archive.la2050.org/ahdom-sayre,833830163,Ahdom_Sayre,For profit business
https://archive.la2050.org/all-in-urban-summer-academy,814435851,All-In Urban Summer Academy,For profit business
https://archive.la2050.org/angel-city-lumber,474574079,Angel City Lumber,For profit business
https://archive.la2050.org/antigua-coffee-house,568691857,Antigua Coffee House,For profit business
https://archive.la2050.org/applicantlab,473354380,ApplicantLab,For profit business
https://archive.la2050.org/arc,260042961,arc,For profit business
https://archive.la2050.org/bill-weber-studios,132467145,Bill Weber Studios,For profit business
https://archive.la2050.org/brown-paper-la,273608324,Brown Paper LA,For profit business
https://archive.la2050.org/bunch-magazine-dba-bunch-media,465448101,BUNCH Magazine dba BUNCH Media,For profit business
https://archive.la2050.org/c-it-productions-llc,820740796,"C It Productions, LLC",For profit business
https://archive.la2050.org/cartel-collaborative-arts-la,270794887,cARTel: Collaborative Arts LA,For profit business
https://archive.la2050.org/cell-ed,451825071,Cell-Ed,For profit business
https://archive.la2050.org/challengemaker,471275838,App of Life,For profit business
https://archive.la2050.org/city-earthworm,455602348,City Earthworm,For profit business
https://archive.la2050.org/city-of-glendora,956000715,City of Glendora,Government
https://archive.la2050.org/citysourced-inc,271272815,"CitySourced, Inc.",For profit business
https://archive.la2050.org/classnube-nube-means-cloud-in-spanish,474586012,ClassNube (Nube means Cloud in Spanish),For profit business
https://archive.la2050.org/climate-uprising-interconnected-media,453038797,Climate Uprising (Interconnected Media),For profit business
https://archive.la2050.org/collaborative-tutoring,462388422,Collaborative Tutoring,For profit business
https://archive.la2050.org/colossi,474259326,Colossi,For profit business
https://archive.la2050.org/compiler-la-utopiad-org,464394783,"Compiler LA, Utopiad.org",For profit business
https://archive.la2050.org/conant-moran-design-fabrication,461067483,Conant Moran Design & Fabrication,For profit business
https://archive.la2050.org/creative-cycle-llc-dba-l-creativo,453189725,"Creative Cycle, LLC, dba. L Creativo",For profit business
https://archive.la2050.org/data-360,813780149,Data 360,For profit business
https://archive.la2050.org/diyfo-do-it-yourself-for-others,453753219,DIYFO (Do-It-Yourself. For Others.),For profit business
https://archive.la2050.org/droplabs,262467065,Droplabs,For profit business
https://archive.la2050.org/dumlao-enterprises,464108322,Dumlao Enterprises,For profit business
https://archive.la2050.org/duvivier-architects-da,549153417,Duvivier Architects (DA),For profit business
https://archive.la2050.org/e-n-g-a-g-e-stands-for-educating-neighbors-gaining-awareness-growing-engaged,474528239,E.N.G.A.G.E stands for Educating Neighbors Gaining Awareness Growing Engaged,For profit business
https://archive.la2050.org/earios,831413066,Earios,For profit business
